逻辑服务唯一实例ID,服务器类型ID,区间分区,服务器描述,最高负载人数,最高房间数目,是否开启
int,int,string,string,int,int,int
ID,logicServerTid,zones,desic,maxUser,maxRooms,enabled
1,1,10001|10002|10003,"普通房间玩法实例1 ,支持分区123",2000,500,1
2,1,10001|10002|10003,"普通房间玩法实例1 ,支持分区123",2000,500,0
3,1,10001|10002|10003,"普通房间玩法实例1 ,支持分区123",2000,500,0
4,1,10001,"普通房间玩法实例1 ,支持分区1",2000,500,0
5,1,10002,"普通房间玩法实例1 ,支持分区2",2000,500,0
6,1,10003,"普通房间玩法实例1 ,支持分区3",2000,500,0
7,2,20001,主城,2000,500,1
8,2,20001,主城,2000,500,0
9,2,20002,战斗2D,2000,500,1
10,3,200020,战斗2D(地图副本),2000,500,1
11,2,20003,战斗3D,2000,500,0
12,2,20003,战斗3D,2000,500,0
